,retail_recreation,grocery_pharmacy,parks,transit_stations,workplace,residential,second_level_subdivision,country_code,first_level_subdivision
21,-70.0,-35.0,-42.0,-62.0,-34,15.0,None,BG,Sofia City Province
22,-60.0,-35.0,-28.0,,-31,14.0,None,BG,Sofia Province
23,-63.0,-38.0,-27.0,-10.0,-29,10.0,None,BG,Stara Zagora
24,-63.0,-31.0,,,-19,2.0,None,BG,Targovishte Province
25,-72.0,-36.0,-54.0,-76.0,-34,12.0,None,BG,Varna
26,-68.0,-37.0,-24.0,-56.0,-28,13.0,None,BG,Veliko Tarnovo Province
27,-59.0,-29.0,,,-25,,None,BG,Vidin
28,-53.0,-31.0,-3.0,-49.0,-18,21.0,None,BG,Vraca
0,-34.0,-25.0,-22.0,-53.0,-3,15.0,None,BF,None
0,-43.0,-29.0,-31.0,-57.0,-15,12.0,None,KH,None
0,-26.0,-20.0,-19.0,-23.0,-3,9.0,None,CM,None
0,-59.0,-35.0,-16.0,-66.0,-44,14.0,None,CA,None
1,-55.0,-29.0,-23.0,-63.0,-41,13.0,None,CA,Alberta
2,-54.0,-28.0,27.0,-59.0,-47,13.0,None,CA,British Columbia
3,-49.0,-21.0,-9.0,-56.0,-36,11.0,None,CA,Manitoba
4,-42.0,-20.0,101.0,-47.0,-35,8.0,None,CA,New Brunswick
5,-54.0,-38.0,-18.0,-60.0,-35,9.0,None,CA,Newfoundland and Labrador
6,-59.0,-44.0,,-59.0,-32,,None,CA,Northwest Territories
7,-33.0,-7.0,95.0,-45.0,-32,5.0,None,CA,Nova Scotia
8,-47.0,,,,-32,,None,CA,Nunavut
9,-59.0,-33.0,-14.0,-66.0,-46,14.0,None,CA,Ontario
10,-43.0,-19.0,-51.0,,-34,25.0,None,CA,Prince Edward Island
11,-70.0,-44.0,-68.0,-75.0,-45,15.0,None,CA,Quebec
12,-53.0,-24.0,45.0,-52.0,-37,11.0,None,CA,Saskatchewan
13,-43.0,-28.0,,,-31,,None,CA,Yukon
0,-60.0,-48.0,-57.0,-88.0,-40,19.0,None,CV,None
0,-73.0,-55.0,-72.0,-64.0,-42,24.0,None,CL,None
0,-86.0,-68.0,-80.0,-82.0,-58,26.0,None,CO,None
0,-68.0,-41.0,-71.0,-68.0,-39,21.0,None,CR,None
0,-35.0,-21.0,-21.0,-33.0,-9,14.0,None,CI,None
0,-82.0,-57.0,-45.0,-74.0,-50,15.0,None,HR,None
1,-85.0,-58.0,-23.0,-70.0,-46,20.0,None,HR,Bjelovar-Bilogora County
2,-81.0,-59.0,,-83.0,-51,23.0,None,HR,Brod-Posavina County
3,-85.0,-61.0,-51.0,-76.0,-51,16.0,None,HR,City of Zagreb
4,-78.0,-54.0,-29.0,-66.0,-52,22.0,None,HR,Dubrovnik-Neretva County
5,-74.0,-55.0,-35.0,-76.0,-45,15.0,None,HR,Istria County
6,-83.0,-56.0,-16.0,-66.0,-48,30.0,None,HR,Karlovac County
7,-81.0,-58.0,,,-44,25.0,None,HR,Koprivnica-Križevci County
8,-87.0,-63.0,,-72.0,-48,34.0,None,HR,Krapina-Zagorje County
9,-73.0,-44.0,-58.0,-83.0,-46,,None,HR,Lika-Senj County
10,-86.0,-64.0,,-84.0,-54,27.0,None,HR,Međimurje County
11,-83.0,-54.0,-14.0,-73.0,-47,17.0,None,HR,Osijek-Baranja County
12,-83.0,-58.0,,-75.0,-49,0.0,None,HR,Požega-Slavonia County
13,-82.0,-58.0,-47.0,-81.0,-48,15.0,None,HR,Primorje-Gorski Kotar County
14,-76.0,-61.0,-51.0,-71.0,-43,27.0,None,HR,Sisak-Moslavina County
15,-83.0,-52.0,-33.0,-76.0,-55,17.0,None,HR,Split-Dalmatia County
16,-86.0,-61.0,-62.0,-83.0,-50,30.0,None,HR,Varaždin County
17,-80.0,-53.0,,-79.0,-46,1.0,None,HR,Virovitica-Podravina County
18,-81.0,-52.0,,-70.0,-48,24.0,None,HR,Vukovar-Srijem County
19,-77.0,-51.0,-19.0,-75.0,-47,25.0,None,HR,Zadar County
20,-85.0,-59.0,-64.0,-72.0,-53,15.0,None,HR,Zagreb County
21,-78.0,-47.0,-12.0,-67.0,-48,15.0,None,HR,Šibenik-Knin County
0,-73.0,-26.0,-24.0,-61.0,-31,11.0,None,CZ,None
1,-67.0,-20.0,9.0,-37.0,-29,11.0,None,CZ,Central Bohemian Region
2,-78.0,-30.0,-33.0,-69.0,-32,11.0,None,CZ,Hradec Králové Region
3,-75.0,-38.0,-53.0,-70.0,-36,10.0,None,CZ,Karlovy Vary Region
4,-75.0,-24.0,-45.0,-66.0,-36,10.0,None,CZ,Liberec Region
5,-72.0,-21.0,-14.0,-63.0,-27,10.0,None,CZ,Moravian-Silesian Region
6,-72.0,-27.0,-15.0,-74.0,-27,10.0,None,CZ,Olomouc Region
7,-74.0,-27.0,-1.0,-73.0,-28,10.0,None,CZ,Pardubice Region
8,-74.0,-29.0,-8.0,-55.0,-30,10.0,None,CZ,Plzeň Region
9,-77.0,-30.0,-58.0,-71.0,-38,15.0,None,CZ,Prague
10,-72.0,-27.0,-17.0,-60.0,-29,9.0,None,CZ,South Bohemian Region
11,-70.0,-24.0,5.0,-50.0,-28,11.0,None,CZ,South Moravian Region
12,-74.0,-21.0,27.0,-55.0,-28,10.0,None,CZ,Vysocina Region
13,-71.0,-25.0,1.0,-65.0,-29,9.0,None,CZ,Zlin Region
14,-71.0,-25.0,-28.0,-56.0,-26,9.0,None,CZ,Ústí nad Labem Region
0,-37.0,-22.0,35.0,-60.0,-28,9.0,None,DK,None
1,-48.0,-24.0,13.0,-67.0,-33,10.0,None,DK,Capital Region of Denmark
2,-34.0,-23.0,71.0,-55.0,-26,9.0,None,DK,Central Denmark Region
3,-34.0,-16.0,32.0,-54.0,-26,8.0,None,DK,North Denmark Region
4,-28.0,-17.0,54.0,-55.0,-25,8.0,None,DK,Region Zealand
5,-30.0,-22.0,23.0,-59.0,-28,9.0,None,DK,Region of Southern Denmark
0,-80.0,-63.0,-73.0,-84.0,-56,23.0,None,DO,None
0,-84.0,-66.0,-80.0,-80.0,-61,26.0,None,EC,None
0,-50.0,-24.0,-40.0,-52.0,-35,15.0,None,EG,None
0,-81.0,-62.0,-72.0,-73.0,-50,23.0,None,SV,None
0,-60.0,-28.0,4.0,-51.0,-32,10.0,None,EE,None
1,-61.0,-29.0,2.0,-57.0,-34,11.0,None,EE,Harju County
2,,,,,-68,,None,EE,Hiiu County
3,-50.0,-22.0,-23.0,-35.0,-28,12.0,None,EE,Ida-Viru County
4,-41.0,-23.0,,,-39,,None,EE,Järva County
5,-45.0,-24.0,,,-42,,None,EE,Jõgeva County
6,-53.0,-32.0,,,-47,,None,EE,Lääne County
7,-55.0,-20.0,,-41.0,-20,5.0,None,EE,Lääne-Viru County
8,-67.0,-31.0,-17.0,-53.0,-36,20.0,None,EE,Pärnu County
9,-77.0,-24.0,,,-48,,None,EE,Põlva County
